"geometry"
"POINT(16.371662891697607 59.40388342350176)"
"POINT(16.421932290387552 59.33861036474191)"
"POINT(16.46047905573295 59.4125121787841)"
"POINT(16.51799886470526 59.40850870316528)"
"POINT(16.601476731400627 59.375684048103565)"
"POINT(16.44989259328566 59.42507936419285)"
"POINT(16.307617027631178 59.43873417836374)"
"POINT(16.56355583766705 59.42751778501469)"
"POINT(16.346532843152573 59.43935843547232)"
"POINT(16.424936624691256 59.385116826348536)"
"POINT(16.464445736741073 59.378354860907606)"
"POINT(16.502078650516115 59.43453875631173)"
"POINT(16.350341375863675 59.34809675188141)"
"POINT(16.418608626959752 59.349619351776134)"
"POINT(16.409462157822887 59.360892242193046)"
"POINT(16.559621334860914 59.3720637379397)"
"POINT(16.429030035013447 59.38731275453649)"
"POINT(16.452470577131802 59.39875723721759)"
"POINT(16.590523779034697 59.3563839858252)"
"POINT(16.429514617083594 59.43545092919103)"
"POINT(16.602490253369048 59.355820082863)"
"POINT(16.64086035562281 59.37883957058882)"
"POINT(16.561585332666066 59.4341908404751)"
"POINT(16.38954861138628 59.33542295798777)"
"POINT(16.47443837415363 59.387135905563056)"
"POINT(16.53672387625138 59.386601475514084)"
"POINT(16.63264979263089 59.42411145546615)"
"POINT(16.455091258648157 59.387198309811325)"
"POINT(16.43785584298156 59.434801441575296)"
"POINT(16.461322898782594 59.39055310065804)"
"POINT(16.336433218302044 59.381426710127585)"
"POINT(16.46132310193754 59.422929309083614)"
"POINT(16.515758860063443 59.42901191498551)"
"POINT(16.590889697183982 59.38779973951823)"
"POINT(16.574985417460486 59.39667413574014)"
"POINT(16.536207458142588 59.392480217453816)"
"POINT(16.325458349735534 59.428421190788136)"
"POINT(16.658791996702387 59.37536013979494)"
"POINT(16.456911525504474 59.430536346712394)"
"POINT(16.627135964427698 59.393603566223085)"
"POINT(16.34824654807381 59.38648453460184)"
"POINT(16.305277887296963 59.38315752661208)"
"POINT(16.350677888803663 59.39007321108239)"
"POINT(16.52473399646858 59.37560453290921)"
"POINT(16.459798004681733 59.42850466843007)"
"POINT(16.48005954460904 59.432182210100464)"
"POINT(16.45516341085097 59.435265322689396)"
"POINT(16.38647423229304 59.372807119553606)"
"POINT(16.659225711234303 59.353576086991694)"
"POINT(16.476138509262462 59.38835054652454)"
"POINT(16.662823725771624 59.37721367806298)"
"POINT(16.66493263479665 59.41188627353827)"
"POINT(16.506400282688684 59.410888848371954)"
"POINT(16.620023760338235 59.406355120032856)"
"POINT(16.376469051062653 59.43720730190229)"
"POINT(16.514282169424508 59.34923332159082)"
"POINT(16.42240203102408 59.42463847996633)"
"POINT(16.55472660645992 59.393727999689)"
"POINT(16.54894026885625 59.34917783569363)"
"POINT(16.51477880137661 59.33574337181899)"
"POINT(16.615212600832724 59.33715486620496)"
"POINT(16.550197516665776 59.435214842855245)"
"POINT(16.35507025182235 59.40439211757043)"
"POINT(16.482026048531317 59.34965285661837)"
"POINT(16.37614501273706 59.43342321517424)"
"POINT(16.31581533826755 59.347956798632985)"
"POINT(16.310653172695016 59.36887266727324)"
"POINT(16.61795914236029 59.38861913729016)"
"POINT(16.471971034081147 59.39324177709498)"
"POINT(16.655329217799235 59.406520073890164)"
"POINT(16.35609785675078 59.40747215758317)"
"POINT(16.54765802374085 59.43521344906703)"
"POINT(16.434134177823683 59.36966137635944)"
"POINT(16.58589661953213 59.33866785846974)"
"POINT(16.462778677703593 59.426043682372885)"
"POINT(16.56083338319353 59.36806578668742)"
"POINT(16.40789428497662 59.42429175071442)"
"POINT(16.362156273836025 59.39572150214157)"
"POINT(16.659474500728273 59.35073757463406)"
"POINT(16.321784564307663 59.43691110298831)"
"POINT(16.64308768388046 59.39619532776733)"
"POINT(16.613271423081027 59.36001104098145)"
"POINT(16.335837498813426 59.388598735510485)"
"POINT(16.30734010079297 59.33865232842489)"
"POINT(16.42215901595169 59.37175718341191)"
"POINT(16.3536155863543 59.36213123344592)"
"POINT(16.55815687128467 59.41297938852459)"
"POINT(16.561950635510655 59.36994007838252)"
"POINT(16.40715415561776 59.395915627468376)"
"POINT(16.574029535395603 59.41481315857367)"
"POINT(16.59060962373935 59.377416574551766)"
"POINT(16.53440829452558 59.424603708670766)"
"POINT(16.404165000760116 59.34849198163573)"
"POINT(16.626281882301907 59.33569799988374)"
"POINT(16.636501698229534 59.40023446035783)"
"POINT(16.494592097914367 59.41816387646577)"
"POINT(16.467517366351913 59.41895596053429)"
"POINT(16.49577743797089 59.42073592385662)"
"POINT(16.507259183683068 59.428685609334266)"
"POINT(16.375989663803487 59.43978291434813)"
"POINT(16.622968119925975 59.41788398473596)"
"POINT(16.41810728318294 59.42465652925634)"
"POINT(16.549248217546204 59.42990396666553)"
"POINT(16.304233624625752 59.37947585036935)"
"POINT(16.62458057257397 59.39516157014801)"
"POINT(16.438861038044486 59.387894471672226)"
"POINT(16.33478401028096 59.41656759797551)"
"POINT(16.646088311940396 59.42385000999711)"
"POINT(16.56784929175454 59.376208891034416)"
"POINT(16.579581369734814 59.3577990543992)"
"POINT(16.55318148142427 59.41648436481121)"
"POINT(16.390246174136045 59.39544415753682)"
"POINT(16.47834858195792 59.39738172506265)"
"POINT(16.441639597137485 59.35471173975244)"
"POINT(16.42752121491826 59.362355917448895)"
"POINT(16.648728444901852 59.382309250466065)"
"POINT(16.33834952745316 59.40678564665678)"
"POINT(16.452815687821264 59.35728956879305)"
"POINT(16.445421284110093 59.43713946847287)"
"POINT(16.522799002226233 59.40584796373248)"
"POINT(16.471035386404104 59.382155709289016)"
"POINT(16.383471468198035 59.39567302028841)"
"POINT(16.480501049190327 59.33795035216358)"
"POINT(16.38957989226142 59.37421467647592)"
"POINT(16.459647107734092 59.38901629395976)"
"POINT(16.49537355719404 59.35836453456881)"
"POINT(16.663282793922903 59.36028442258229)"
"POINT(16.425299718461176 59.36242152099658)"
"POINT(16.55737016093535 59.354577824200405)"
"POINT(16.653364478458464 59.33616623702905)"
"POINT(16.357633171474255 59.418565929745206)"
"POINT(16.54455849426415 59.34701717798703)"
"POINT(16.56724129868183 59.42839143872232)"
"POINT(16.646995234358645 59.3897750804407)"
"POINT(16.55266949695237 59.42577511960086)"
"POINT(16.5083508755454 59.37040832601204)"
"POINT(16.4252547372604 59.36050356659021)"
"POINT(16.571938002410043 59.42067248040116)"
"POINT(16.383725922636792 59.36008439223213)"
"POINT(16.302417252720492 59.373757545265306)"
"POINT(16.545982047377862 59.39706373116621)"
"POINT(16.603005771048853 59.372537112775795)"
"POINT(16.594650916834688 59.36831013306169)"
"POINT(16.607832950738985 59.395082014242895)"
"POINT(16.49583904098306 59.42401825483392)"
"POINT(16.549259899947607 59.38849069961739)"
"POINT(16.424712640725822 59.343327887377235)"
"POINT(16.39455565540244 59.33925029715855)"
"POINT(16.519193454709676 59.37251663698459)"
"POINT(16.57303681279702 59.428942915406495)"
"POINT(16.583543413468234 59.404071702531795)"
"POINT(16.44670891692029 59.360386557871706)"
"POINT(16.622044755810112 59.4182510925554)"
"POINT(16.600415702560724 59.423638441694735)"
"POINT(16.38662087619025 59.37563829713208)"
"POINT(16.394945546063234 59.380063605140556)"
"POINT(16.411512553774937 59.41963825991195)"
"POINT(16.30563811642857 59.43925402078412)"
"POINT(16.495024319067042 59.368818067111526)"
"POINT(16.49360391165845 59.39231125366236)"
"POINT(16.4906138795635 59.37799024602334)"
"POINT(16.390482327140724 59.399439478898664)"
"POINT(16.425184999447932 59.41591694641317)"
"POINT(16.539134088131355 59.344434270057974)"
"POINT(16.440461291722325 59.37799810525178)"
"POINT(16.628421928196712 59.42116552529338)"
"POINT(16.386464817568747 59.425550175494664)"
"POINT(16.558206030279894 59.392844837434964)"
"POINT(16.52676578072463 59.411549271226086)"
"POINT(16.486987119141833 59.35687131069399)"
"POINT(16.32143707925878 59.406656279728644)"
"POINT(16.39264583543153 59.396472655751765)"
"POINT(16.57956279551213 59.33900953238151)"
"POINT(16.407388221995813 59.354332574315634)"
"POINT(16.452502662271925 59.39400583514396)"
"POINT(16.31126003594588 59.42603764953941)"
"POINT(16.611923274266882 59.397160664861474)"
"POINT(16.541850788348476 59.39073233091912)"
"POINT(16.35329792888884 59.43456144901005)"
"POINT(16.476969477839607 59.40913533710636)"
"POINT(16.447208601923034 59.3841749926052)"
"POINT(16.63860674644936 59.428505124168595)"
"POINT(16.315602734675966 59.38195144945752)"
"POINT(16.61526317791674 59.36750693315562)"
"POINT(16.603686770366906 59.431237541082375)"
"POINT(16.363209775200254 59.40802196025664)"
"POINT(16.302603978607834 59.347677831716496)"
"POINT(16.430675479158417 59.34457750788106)"
"POINT(16.63536573445479 59.36954328778873)"
"POINT(16.449275337956948 59.33969285393948)"
"POINT(16.39264168312632 59.42535712322595)"
"POINT(16.648030859913387 59.39143665391134)"
"POINT(16.43643220975352 59.3644748569024)"
"POINT(16.54372523018031 59.3565586646497)"
"POINT(16.315418594823203 59.349072267921436)"
"POINT(16.623671552255306 59.37553640769775)"
"POINT(16.509085766068875 59.34088710412046)"
"POINT(16.407317907089624 59.376363402831544)"
"POINT(16.33601496338186 59.401203196653285)"
"POINT(16.489717172200304 59.35046359833448)"
"POINT(16.317238354994757 59.362531173019406)"
"POINT(16.5597608613652 59.43391511217478)"
"POINT(16.451641230876877 59.431463052592115)"
"POINT(16.411418846114415 59.36603732417231)"
"POINT(16.44994834878453 59.38460870530936)"
"POINT(16.425683519577834 59.41872658418046)"
"POINT(16.46017496344165 59.401202723008396)"
"POINT(16.398139370447414 59.40092897851976)"
"POINT(16.64729057916814 59.39167709856763)"
"POINT(16.48386617237191 59.39800658446267)"
"POINT(16.5805844106407 59.42714498677295)"
"POINT(16.4335874781931 59.420982292778476)"
"POINT(16.345896177387985 59.360418497347325)"
"POINT(16.510687250292428 59.39396607777933)"
"POINT(16.460045309632758 59.39183242650983)"
"POINT(16.36551660159454 59.38937753427232)"
"POINT(16.433660548992318 59.36800966690161)"
"POINT(16.321433098164004 59.35244590419033)"
"POINT(16.39674705292179 59.4304997447219)"
"POINT(16.36640674958913 59.36775205322027)"
"POINT(16.371935200697905 59.374081574576564)"
"POINT(16.51940399963417 59.40800030386172)"
"POINT(16.596279599176725 59.36251352555064)"
"POINT(16.3701071421929 59.42033925246473)"
"POINT(16.61220742707713 59.42966218189571)"
"POINT(16.552366086976203 59.432972813115306)"
"POINT(16.47389119196622 59.36003293617974)"
