"geometry"
"POINT(16.490935510114376 59.36835666193741)"
"POINT(16.494869129211583 59.36852384727836)"
"POINT(16.48961293527661 59.37439883463889)"
"POINT(16.495560954981304 59.366289701317264)"
"POINT(16.4850681657724 59.36922204074484)"
"POINT(16.492277628145448 59.37044369181945)"
"POINT(16.49053182616331 59.371951305233885)"
"POINT(16.48396321976237 59.37552261596365)"
"POINT(16.487915048475575 59.36448346616515)"
"POINT(16.492164005176303 59.3718887031298)"
"POINT(16.491199613668165 59.3725173572525)"
"POINT(16.491861381280486 59.36694039539642)"
"POINT(16.494493817142065 59.367343982863424)"
"POINT(16.49384187098051 59.36814721303769)"
"POINT(16.48773853107979 59.37291050632122)"
"POINT(16.487188284824747 59.37039683909679)"
"POINT(16.491876711998827 59.36359318788974)"
"POINT(16.490077740605916 59.36653298254486)"
"POINT(16.494781688824112 59.368411174471994)"
"POINT(16.49079408088405 59.37091336768137)"
"POINT(16.487686044666145 59.36923099729307)"
"POINT(16.48903849277488 59.36935146113105)"
"POINT(16.48659643473736 59.370414735913634)"
"POINT(16.48559405230459 59.36975181777095)"
"POINT(16.48663862710699 59.37107829101624)"
"POINT(16.487692178508738 59.375636707936806)"
"POINT(16.490889279571075 59.365669308225925)"
"POINT(16.484688904621972 59.37671234076398)"
"POINT(16.48201797290763 59.37613614890124)"
"POINT(16.487271754647224 59.365659802280724)"
"POINT(16.48920840160038 59.365189191722536)"
"POINT(16.487934557250973 59.37293097091319)"
"POINT(16.485887773077376 59.369026824072364)"
"POINT(16.483443745988865 59.37607586082485)"
"POINT(16.48601567447874 59.36917211867576)"
"POINT(16.48703482894596 59.37267771253286)"
"POINT(16.488956263882873 59.37332328954469)"
"POINT(16.493456004068353 59.36416521855396)"
"POINT(16.490330305437677 59.37349097405699)"
"POINT(16.49513850461823 59.37194316661)"
"POINT(16.49292017377906 59.3677271508009)"
"POINT(16.48469059430953 59.3688309889138)"
"POINT(16.491692336727578 59.36964201581273)"
"POINT(16.488335344010046 59.365610960215626)"
"POINT(16.488662447683758 59.37030648908013)"
"POINT(16.485965334303117 59.37291818071242)"
"POINT(16.487687015384296 59.36850676683386)"
"POINT(16.48416562689115 59.37579636269346)"
"POINT(16.487860536677 59.368975563730714)"
"POINT(16.490304830906524 59.36616607126522)"
"POINT(16.48524293190443 59.36641513657798)"
"POINT(16.48778878010134 59.37210218772247)"
